row_id,ISIS,linkage_position_1based,between_nt_1based,linkage,is_PS,is_PO,is_unknown_linkage
180,590567,7,7-8,PS,True,False,False
180,590567,8,8-9,PS,True,False,False
180,590567,9,9-10,PS,True,False,False
180,590567,10,10-11,PS,True,False,False
180,590567,11,11-12,PS,True,False,False
180,590567,12,12-13,PS,True,False,False
180,590567,13,13-14,PS,True,False,False
180,590567,14,14-15,PS,True,False,False
180,590567,15,15-16,PS,True,False,False
180,590567,16,16-17,PS,True,False,False
181,590568,1,1-2,PS,True,False,False
181,590568,2,2-3,PS,True,False,False
181,590568,3,3-4,PS,True,False,False
181,590568,4,4-5,PS,True,False,False
181,590568,5,5-6,PS,True,False,False
181,590568,6,6-7,PS,True,False,False
181,590568,7,7-8,PS,True,False,False
181,590568,8,8-9,PS,True,False,False
181,590568,9,9-10,PS,True,False,False
181,590568,10,10-11,PS,True,False,False
181,590568,11,11-12,PS,True,False,False
181,590568,12,12-13,PS,True,False,False
181,590568,13,13-14,PS,True,False,False
181,590568,14,14-15,PS,True,False,False
181,590568,15,15-16,PS,True,False,False
181,590568,16,16-17,PS,True,False,False
182,590569,1,1-2,PS,True,False,False
182,590569,2,2-3,PS,True,False,False
182,590569,3,3-4,PS,True,False,False
182,590569,4,4-5,PS,True,False,False
182,590569,5,5-6,PS,True,False,False
182,590569,6,6-7,PS,True,False,False
182,590569,7,7-8,PS,True,False,False
182,590569,8,8-9,PS,True,False,False
182,590569,9,9-10,PS,True,False,False
182,590569,10,10-11,PS,True,False,False
182,590569,11,11-12,PS,True,False,False
182,590569,12,12-13,PS,True,False,False
182,590569,13,13-14,PS,True,False,False
182,590569,14,14-15,PS,True,False,False
182,590569,15,15-16,PS,True,False,False
182,590569,16,16-17,PS,True,False,False
183,590570,1,1-2,PS,True,False,False
183,590570,2,2-3,PS,True,False,False
183,590570,3,3-4,PS,True,False,False
183,590570,4,4-5,PS,True,False,False
183,590570,5,5-6,PS,True,False,False
183,590570,6,6-7,PS,True,False,False
183,590570,7,7-8,PS,True,False,False
183,590570,8,8-9,PS,True,False,False
183,590570,9,9-10,PS,True,False,False
183,590570,10,10-11,PS,True,False,False
183,590570,11,11-12,PS,True,False,False
183,590570,12,12-13,PS,True,False,False
183,590570,13,13-14,PS,True,False,False
183,590570,14,14-15,PS,True,False,False
183,590570,15,15-16,PS,True,False,False
183,590570,16,16-17,PS,True,False,False
184,590571,1,1-2,PS,True,False,False
184,590571,2,2-3,PS,True,False,False
184,590571,3,3-4,PS,True,False,False
184,590571,4,4-5,PS,True,False,False
184,590571,5,5-6,PS,True,False,False
184,590571,6,6-7,PS,True,False,False
184,590571,7,7-8,PS,True,False,False
184,590571,8,8-9,PS,True,False,False
184,590571,9,9-10,PS,True,False,False
184,590571,10,10-11,PS,True,False,False
184,590571,11,11-12,PS,True,False,False
184,590571,12,12-13,PS,True,False,False
184,590571,13,13-14,PS,True,False,False
184,590571,14,14-15,PS,True,False,False
184,590571,15,15-16,PS,True,False,False
184,590571,16,16-17,PS,True,False,False
185,590572,1,1-2,PS,True,False,False
185,590572,2,2-3,PS,True,False,False
185,590572,3,3-4,PS,True,False,False
185,590572,4,4-5,PS,True,False,False
185,590572,5,5-6,PS,True,False,False
185,590572,6,6-7,PS,True,False,False
185,590572,7,7-8,PS,True,False,False
185,590572,8,8-9,PS,True,False,False
185,590572,9,9-10,PS,True,False,False
185,590572,10,10-11,PS,True,False,False
185,590572,11,11-12,PS,True,False,False
185,590572,12,12-13,PS,True,False,False
185,590572,13,13-14,PS,True,False,False
185,590572,14,14-15,PS,True,False,False
185,590572,15,15-16,PS,True,False,False
185,590572,16,16-17,PS,True,False,False
186,590573,1,1-2,PS,True,False,False
186,590573,2,2-3,PS,True,False,False
186,590573,3,3-4,PS,True,False,False
186,590573,4,4-5,PS,True,False,False
186,590573,5,5-6,PS,True,False,False
186,590573,6,6-7,PS,True,False,False
186,590573,7,7-8,PS,True,False,False
186,590573,8,8-9,PS,True,False,False
186,590573,9,9-10,PS,True,False,False
186,590573,10,10-11,PS,True,False,False
186,590573,11,11-12,PS,True,False,False
186,590573,12,12-13,PS,True,False,False
186,590573,13,13-14,PS,True,False,False
186,590573,14,14-15,PS,True,False,False
186,590573,15,15-16,PS,True,False,False
186,590573,16,16-17,PS,True,False,False
187,590574,1,1-2,PS,True,False,False
187,590574,2,2-3,PS,True,False,False
187,590574,3,3-4,PS,True,False,False
187,590574,4,4-5,PS,True,False,False
187,590574,5,5-6,PS,True,False,False
187,590574,6,6-7,PS,True,False,False
187,590574,7,7-8,PS,True,False,False
187,590574,8,8-9,PS,True,False,False
187,590574,9,9-10,PS,True,False,False
187,590574,10,10-11,PS,True,False,False
187,590574,11,11-12,PS,True,False,False
187,590574,12,12-13,PS,True,False,False
187,590574,13,13-14,PS,True,False,False
187,590574,14,14-15,PS,True,False,False
187,590574,15,15-16,PS,True,False,False
187,590574,16,16-17,PS,True,False,False
188,590575,1,1-2,PS,True,False,False
188,590575,2,2-3,PS,True,False,False
188,590575,3,3-4,PS,True,False,False
188,590575,4,4-5,PS,True,False,False
188,590575,5,5-6,PS,True,False,False
188,590575,6,6-7,PS,True,False,False
188,590575,7,7-8,PS,True,False,False
188,590575,8,8-9,PS,True,False,False
188,590575,9,9-10,PS,True,False,False
188,590575,10,10-11,PS,True,False,False
188,590575,11,11-12,PS,True,False,False
188,590575,12,12-13,PS,True,False,False
188,590575,13,13-14,PS,True,False,False
188,590575,14,14-15,PS,True,False,False
188,590575,15,15-16,PS,True,False,False
188,590575,16,16-17,PS,True,False,False
189,590576,1,1-2,PS,True,False,False
189,590576,2,2-3,PS,True,False,False
189,590576,3,3-4,PS,True,False,False
189,590576,4,4-5,PS,True,False,False
189,590576,5,5-6,PS,True,False,False
189,590576,6,6-7,PS,True,False,False
189,590576,7,7-8,PS,True,False,False
189,590576,8,8-9,PS,True,False,False
189,590576,9,9-10,PS,True,False,False
189,590576,10,10-11,PS,True,False,False
189,590576,11,11-12,PS,True,False,False
189,590576,12,12-13,PS,True,False,False
189,590576,13,13-14,PS,True,False,False
189,590576,14,14-15,PS,True,False,False
189,590576,15,15-16,PS,True,False,False
189,590576,16,16-17,PS,True,False,False
190,590577,1,1-2,PS,True,False,False
190,590577,2,2-3,PS,True,False,False
190,590577,3,3-4,PS,True,False,False
190,590577,4,4-5,PS,True,False,False
190,590577,5,5-6,PS,True,False,False
190,590577,6,6-7,PS,True,False,False
190,590577,7,7-8,PS,True,False,False
190,590577,8,8-9,PS,True,False,False
190,590577,9,9-10,PS,True,False,False
190,590577,10,10-11,PS,True,False,False
190,590577,11,11-12,PS,True,False,False
190,590577,12,12-13,PS,True,False,False
190,590577,13,13-14,PS,True,False,False
190,590577,14,14-15,PS,True,False,False
190,590577,15,15-16,PS,True,False,False
190,590577,16,16-17,PS,True,False,False
191,590578,1,1-2,PS,True,False,False
191,590578,2,2-3,PS,True,False,False
191,590578,3,3-4,PS,True,False,False
191,590578,4,4-5,PS,True,False,False
191,590578,5,5-6,PS,True,False,False
191,590578,6,6-7,PS,True,False,False
191,590578,7,7-8,PS,True,False,False
191,590578,8,8-9,PS,True,False,False
191,590578,9,9-10,PS,True,False,False
191,590578,10,10-11,PS,True,False,False
191,590578,11,11-12,PS,True,False,False
191,590578,12,12-13,PS,True,False,False
191,590578,13,13-14,PS,True,False,False
191,590578,14,14-15,PS,True,False,False
191,590578,15,15-16,PS,True,False,False
191,590578,16,16-17,PS,True,False,False
192,590579,1,1-2,PS,True,False,False
192,590579,2,2-3,PS,True,False,False
192,590579,3,3-4,PS,True,False,False
192,590579,4,4-5,PS,True,False,False
192,590579,5,5-6,PS,True,False,False
192,590579,6,6-7,PS,True,False,False
192,590579,7,7-8,PS,True,False,False
192,590579,8,8-9,PS,True,False,False
192,590579,9,9-10,PS,True,False,False
192,590579,10,10-11,PS,True,False,False
192,590579,11,11-12,PS,True,False,False
192,590579,12,12-13,PS,True,False,False
192,590579,13,13-14,PS,True,False,False
192,590579,14,14-15,PS,True,False,False
192,590579,15,15-16,PS,True,False,False
192,590579,16,16-17,PS,True,False,False
193,590580,1,1-2,PS,True,False,False
193,590580,2,2-3,PS,True,False,False
193,590580,3,3-4,PS,True,False,False
193,590580,4,4-5,PS,True,False,False
193,590580,5,5-6,PS,True,False,False
193,590580,6,6-7,PS,True,False,False
193,590580,7,7-8,PS,True,False,False
193,590580,8,8-9,PS,True,False,False
193,590580,9,9-10,PS,True,False,False
193,590580,10,10-11,PS,True,False,False
193,590580,11,11-12,PS,True,False,False
193,590580,12,12-13,PS,True,False,False
193,590580,13,13-14,PS,True,False,False
193,590580,14,14-15,PS,True,False,False
193,590580,15,15-16,PS,True,False,False
193,590580,16,16-17,PS,True,False,False
194,590581,1,1-2,PS,True,False,False
194,590581,2,2-3,PS,True,False,False
194,590581,3,3-4,PS,True,False,False
194,590581,4,4-5,PS,True,False,False
194,590581,5,5-6,PS,True,False,False
194,590581,6,6-7,PS,True,False,False
194,590581,7,7-8,PS,True,False,False
194,590581,8,8-9,PS,True,False,False
194,590581,9,9-10,PS,True,False,False
194,590581,10,10-11,PS,True,False,False
194,590581,11,11-12,PS,True,False,False
194,590581,12,12-13,PS,True,False,False
194,590581,13,13-14,PS,True,False,False
194,590581,14,14-15,PS,True,False,False
194,590581,15,15-16,PS,True,False,False
194,590581,16,16-17,PS,True,False,False
195,590582,1,1-2,PS,True,False,False
195,590582,2,2-3,PS,True,False,False
195,590582,3,3-4,PS,True,False,False
195,590582,4,4-5,PS,True,False,False
195,590582,5,5-6,PS,True,False,False
195,590582,6,6-7,PS,True,False,False
195,590582,7,7-8,PS,True,False,False
195,590582,8,8-9,PS,True,False,False
195,590582,9,9-10,PS,True,False,False
195,590582,10,10-11,PS,True,False,False
195,590582,11,11-12,PS,True,False,False
195,590582,12,12-13,PS,True,False,False
195,590582,13,13-14,PS,True,False,False
195,590582,14,14-15,PS,True,False,False
195,590582,15,15-16,PS,True,False,False
195,590582,16,16-17,PS,True,False,False
196,590583,1,1-2,PS,True,False,False
196,590583,2,2-3,PS,True,False,False
196,590583,3,3-4,PS,True,False,False
196,590583,4,4-5,PS,True,False,False
196,590583,5,5-6,PS,True,False,False
196,590583,6,6-7,PS,True,False,False
196,590583,7,7-8,PS,True,False,False
196,590583,8,8-9,PS,True,False,False
196,590583,9,9-10,PS,True,False,False
196,590583,10,10-11,PS,True,False,False
196,590583,11,11-12,PS,True,False,False
196,590583,12,12-13,PS,True,False,False
196,590583,13,13-14,PS,True,False,False
196,590583,14,14-15,PS,True,False,False
196,590583,15,15-16,PS,True,False,False
196,590583,16,16-17,PS,True,False,False
197,590584,1,1-2,PS,True,False,False
197,590584,2,2-3,PS,True,False,False
197,590584,3,3-4,PS,True,False,False
197,590584,4,4-5,PS,True,False,False
197,590584,5,5-6,PS,True,False,False
197,590584,6,6-7,PS,True,False,False
197,590584,7,7-8,PS,True,False,False
197,590584,8,8-9,PS,True,False,False
197,590584,9,9-10,PS,True,False,False
197,590584,10,10-11,PS,True,False,False
197,590584,11,11-12,PS,True,False,False
197,590584,12,12-13,PS,True,False,False
197,590584,13,13-14,PS,True,False,False
197,590584,14,14-15,PS,True,False,False
197,590584,15,15-16,PS,True,False,False
197,590584,16,16-17,PS,True,False,False
198,590585,1,1-2,PS,True,False,False
198,590585,2,2-3,PS,True,False,False
198,590585,3,3-4,PS,True,False,False
198,590585,4,4-5,PS,True,False,False
198,590585,5,5-6,PS,True,False,False
198,590585,6,6-7,PS,True,False,False
198,590585,7,7-8,PS,True,False,False
198,590585,8,8-9,PS,True,False,False
198,590585,9,9-10,PS,True,False,False
198,590585,10,10-11,PS,True,False,False
198,590585,11,11-12,PS,True,False,False
198,590585,12,12-13,PS,True,False,False
198,590585,13,13-14,PS,True,False,False
198,590585,14,14-15,PS,True,False,False
198,590585,15,15-16,PS,True,False,False
198,590585,16,16-17,PS,True,False,False
199,590586,1,1-2,PS,True,False,False
199,590586,2,2-3,PS,True,False,False
199,590586,3,3-4,PS,True,False,False
199,590586,4,4-5,PS,True,False,False
199,590586,5,5-6,PS,True,False,False
199,590586,6,6-7,PS,True,False,False
199,590586,7,7-8,PS,True,False,False
199,590586,8,8-9,PS,True,False,False
199,590586,9,9-10,PS,True,False,False
199,590586,10,10-11,PS,True,False,False
199,590586,11,11-12,PS,True,False,False
199,590586,12,12-13,PS,True,False,False
199,590586,13,13-14,PS,True,False,False
199,590586,14,14-15,PS,True,False,False
199,590586,15,15-16,PS,True,False,False
199,590586,16,16-17,PS,True,False,False
200,590587,1,1-2,PS,True,False,False
200,590587,2,2-3,PS,True,False,False
200,590587,3,3-4,PS,True,False,False
200,590587,4,4-5,PS,True,False,False
200,590587,5,5-6,PS,True,False,False
200,590587,6,6-7,PS,True,False,False
200,590587,7,7-8,PS,True,False,False
200,590587,8,8-9,PS,True,False,False
200,590587,9,9-10,PS,True,False,False
200,590587,10,10-11,PS,True,False,False
200,590587,11,11-12,PS,True,False,False
200,590587,12,12-13,PS,True,False,False
200,590587,13,13-14,PS,True,False,False
200,590587,14,14-15,PS,True,False,False
200,590587,15,15-16,PS,True,False,False
200,590587,16,16-17,PS,True,False,False
201,590588,1,1-2,PS,True,False,False
201,590588,2,2-3,PS,True,False,False
201,590588,3,3-4,PS,True,False,False
201,590588,4,4-5,PS,True,False,False
201,590588,5,5-6,PS,True,False,False
201,590588,6,6-7,PS,True,False,False
201,590588,7,7-8,PS,True,False,False
201,590588,8,8-9,PS,True,False,False
201,590588,9,9-10,PS,True,False,False
201,590588,10,10-11,PS,True,False,False
201,590588,11,11-12,PS,True,False,False
201,590588,12,12-13,PS,True,False,False
201,590588,13,13-14,PS,True,False,False
201,590588,14,14-15,PS,True,False,False
201,590588,15,15-16,PS,True,False,False
201,590588,16,16-17,PS,True,False,False
202,590589,1,1-2,PS,True,False,False
202,590589,2,2-3,PS,True,False,False
202,590589,3,3-4,PS,True,False,False
202,590589,4,4-5,PS,True,False,False
202,590589,5,5-6,PS,True,False,False
202,590589,6,6-7,PS,True,False,False
202,590589,7,7-8,PS,True,False,False
202,590589,8,8-9,PS,True,False,False
202,590589,9,9-10,PS,True,False,False
202,590589,10,10-11,PS,True,False,False
202,590589,11,11-12,PS,True,False,False
202,590589,12,12-13,PS,True,False,False
202,590589,13,13-14,PS,True,False,False
202,590589,14,14-15,PS,True,False,False
202,590589,15,15-16,PS,True,False,False
202,590589,16,16-17,PS,True,False,False
203,590590,1,1-2,PS,True,False,False
203,590590,2,2-3,PS,True,False,False
203,590590,3,3-4,PS,True,False,False
203,590590,4,4-5,PS,True,False,False
203,590590,5,5-6,PS,True,False,False
203,590590,6,6-7,PS,True,False,False
203,590590,7,7-8,PS,True,False,False
203,590590,8,8-9,PS,True,False,False
203,590590,9,9-10,PS,True,False,False
203,590590,10,10-11,PS,True,False,False
203,590590,11,11-12,PS,True,False,False
203,590590,12,12-13,PS,True,False,False
203,590590,13,13-14,PS,True,False,False
203,590590,14,14-15,PS,True,False,False
203,590590,15,15-16,PS,True,False,False
203,590590,16,16-17,PS,True,False,False
204,590591,1,1-2,PS,True,False,False
204,590591,2,2-3,PS,True,False,False
204,590591,3,3-4,PS,True,False,False
204,590591,4,4-5,PS,True,False,False
204,590591,5,5-6,PS,True,False,False
204,590591,6,6-7,PS,True,False,False
204,590591,7,7-8,PS,True,False,False
204,590591,8,8-9,PS,True,False,False
204,590591,9,9-10,PS,True,False,False
204,590591,10,10-11,PS,True,False,False
204,590591,11,11-12,PS,True,False,False
204,590591,12,12-13,PS,True,False,False
204,590591,13,13-14,PS,True,False,False
204,590591,14,14-15,PS,True,False,False
204,590591,15,15-16,PS,True,False,False
204,590591,16,16-17,PS,True,False,False
205,590592,1,1-2,PS,True,False,False
205,590592,2,2-3,PS,True,False,False
205,590592,3,3-4,PS,True,False,False
205,590592,4,4-5,PS,True,False,False
205,590592,5,5-6,PS,True,False,False
205,590592,6,6-7,PS,True,False,False
205,590592,7,7-8,PS,True,False,False
205,590592,8,8-9,PS,True,False,False
205,590592,9,9-10,PS,True,False,False
205,590592,10,10-11,PS,True,False,False
205,590592,11,11-12,PS,True,False,False
205,590592,12,12-13,PS,True,False,False
205,590592,13,13-14,PS,True,False,False
205,590592,14,14-15,PS,True,False,False
205,590592,15,15-16,PS,True,False,False
205,590592,16,16-17,PS,True,False,False
206,590593,1,1-2,PS,True,False,False
206,590593,2,2-3,PS,True,False,False
206,590593,3,3-4,PS,True,False,False
206,590593,4,4-5,PS,True,False,False
206,590593,5,5-6,PS,True,False,False
206,590593,6,6-7,PS,True,False,False
206,590593,7,7-8,PS,True,False,False
206,590593,8,8-9,PS,True,False,False
206,590593,9,9-10,PS,True,False,False
206,590593,10,10-11,PS,True,False,False
206,590593,11,11-12,PS,True,False,False
206,590593,12,12-13,PS,True,False,False
206,590593,13,13-14,PS,True,False,False
206,590593,14,14-15,PS,True,False,False
206,590593,15,15-16,PS,True,False,False
206,590593,16,16-17,PS,True,False,False
207,590594,1,1-2,PS,True,False,False
207,590594,2,2-3,PS,True,False,False
207,590594,3,3-4,PS,True,False,False
207,590594,4,4-5,PS,True,False,False
207,590594,5,5-6,PS,True,False,False
207,590594,6,6-7,PS,True,False,False
207,590594,7,7-8,PS,True,False,False
207,590594,8,8-9,PS,True,False,False
207,590594,9,9-10,PS,True,False,False
207,590594,10,10-11,PS,True,False,False
207,590594,11,11-12,PS,True,False,False
207,590594,12,12-13,PS,True,False,False
207,590594,13,13-14,PS,True,False,False
207,590594,14,14-15,PS,True,False,False
207,590594,15,15-16,PS,True,False,False
207,590594,16,16-17,PS,True,False,False
208,590595,1,1-2,PS,True,False,False
208,590595,2,2-3,PS,True,False,False
208,590595,3,3-4,PS,True,False,False
208,590595,4,4-5,PS,True,False,False
208,590595,5,5-6,PS,True,False,False
208,590595,6,6-7,PS,True,False,False
208,590595,7,7-8,PS,True,False,False
208,590595,8,8-9,PS,True,False,False
208,590595,9,9-10,PS,True,False,False
208,590595,10,10-11,PS,True,False,False
208,590595,11,11-12,PS,True,False,False
208,590595,12,12-13,PS,True,False,False
208,590595,13,13-14,PS,True,False,False
208,590595,14,14-15,PS,True,False,False
208,590595,15,15-16,PS,True,False,False
208,590595,16,16-17,PS,True,False,False
209,590596,1,1-2,PS,True,False,False
209,590596,2,2-3,PS,True,False,False
209,590596,3,3-4,PS,True,False,False
209,590596,4,4-5,PS,True,False,False
209,590596,5,5-6,PS,True,False,False
209,590596,6,6-7,PS,True,False,False
209,590596,7,7-8,PS,True,False,False
209,590596,8,8-9,PS,True,False,False
209,590596,9,9-10,PS,True,False,False
209,590596,10,10-11,PS,True,False,False
209,590596,11,11-12,PS,True,False,False
209,590596,12,12-13,PS,True,False,False
209,590596,13,13-14,PS,True,False,False
209,590596,14,14-15,PS,True,False,False
209,590596,15,15-16,PS,True,False,False
209,590596,16,16-17,PS,True,False,False
210,590597,1,1-2,PS,True,False,False
210,590597,2,2-3,PS,True,False,False
210,590597,3,3-4,PS,True,False,False
210,590597,4,4-5,PS,True,False,False
210,590597,5,5-6,PS,True,False,False
210,590597,6,6-7,PS,True,False,False
210,590597,7,7-8,PS,True,False,False
210,590597,8,8-9,PS,True,False,False
210,590597,9,9-10,PS,True,False,False
210,590597,10,10-11,PS,True,False,False
210,590597,11,11-12,PS,True,False,False
210,590597,12,12-13,PS,True,False,False
210,590597,13,13-14,PS,True,False,False
210,590597,14,14-15,PS,True,False,False
210,590597,15,15-16,PS,True,False,False
210,590597,16,16-17,PS,True,False,False
211,590598,1,1-2,PS,True,False,False
211,590598,2,2-3,PS,True,False,False
211,590598,3,3-4,PS,True,False,False
211,590598,4,4-5,PS,True,False,False
211,590598,5,5-6,PS,True,False,False
211,590598,6,6-7,PS,True,False,False
211,590598,7,7-8,PS,True,False,False
211,590598,8,8-9,PS,True,False,False
211,590598,9,9-10,PS,True,False,False
211,590598,10,10-11,PS,True,False,False
211,590598,11,11-12,PS,True,False,False
211,590598,12,12-13,PS,True,False,False
211,590598,13,13-14,PS,True,False,False
211,590598,14,14-15,PS,True,False,False
211,590598,15,15-16,PS,True,False,False
211,590598,16,16-17,PS,True,False,False
212,590599,1,1-2,PS,True,False,False
212,590599,2,2-3,PS,True,False,False
212,590599,3,3-4,PS,True,False,False
212,590599,4,4-5,PS,True,False,False
212,590599,5,5-6,PS,True,False,False
212,590599,6,6-7,PS,True,False,False
212,590599,7,7-8,PS,True,False,False
212,590599,8,8-9,PS,True,False,False
212,590599,9,9-10,PS,True,False,False
212,590599,10,10-11,PS,True,False,False
212,590599,11,11-12,PS,True,False,False
212,590599,12,12-13,PS,True,False,False
212,590599,13,13-14,PS,True,False,False
212,590599,14,14-15,PS,True,False,False
212,590599,15,15-16,PS,True,False,False
212,590599,16,16-17,PS,True,False,False
213,590600,1,1-2,PS,True,False,False
213,590600,2,2-3,PS,True,False,False
213,590600,3,3-4,PS,True,False,False
213,590600,4,4-5,PS,True,False,False
213,590600,5,5-6,PS,True,False,False
213,590600,6,6-7,PS,True,False,False
213,590600,7,7-8,PS,True,False,False
213,590600,8,8-9,PS,True,False,False
213,590600,9,9-10,PS,True,False,False
213,590600,10,10-11,PS,True,False,False
213,590600,11,11-12,PS,True,False,False
213,590600,12,12-13,PS,True,False,False
213,590600,13,13-14,PS,True,False,False
213,590600,14,14-15,PS,True,False,False
213,590600,15,15-16,PS,True,False,False
213,590600,16,16-17,PS,True,False,False
214,590601,1,1-2,PS,True,False,False
214,590601,2,2-3,PS,True,False,False
214,590601,3,3-4,PS,True,False,False
214,590601,4,4-5,PS,True,False,False
214,590601,5,5-6,PS,True,False,False
214,590601,6,6-7,PS,True,False,False
214,590601,7,7-8,PS,True,False,False
214,590601,8,8-9,PS,True,False,False
214,590601,9,9-10,PS,True,False,False
214,590601,10,10-11,PS,True,False,False
214,590601,11,11-12,PS,True,False,False
214,590601,12,12-13,PS,True,False,False
214,590601,13,13-14,PS,True,False,False
214,590601,14,14-15,PS,True,False,False
214,590601,15,15-16,PS,True,False,False
214,590601,16,16-17,PS,True,False,False
215,590602,1,1-2,PS,True,False,False
215,590602,2,2-3,PS,True,False,False
215,590602,3,3-4,PS,True,False,False
215,590602,4,4-5,PS,True,False,False
215,590602,5,5-6,PS,True,False,False
215,590602,6,6-7,PS,True,False,False
215,590602,7,7-8,PS,True,False,False
215,590602,8,8-9,PS,True,False,False
215,590602,9,9-10,PS,True,False,False
215,590602,10,10-11,PS,True,False,False
215,590602,11,11-12,PS,True,False,False
215,590602,12,12-13,PS,True,False,False
215,590602,13,13-14,PS,True,False,False
215,590602,14,14-15,PS,True,False,False
215,590602,15,15-16,PS,True,False,False
215,590602,16,16-17,PS,True,False,False
216,590603,1,1-2,PS,True,False,False
216,590603,2,2-3,PS,True,False,False
216,590603,3,3-4,PS,True,False,False
216,590603,4,4-5,PS,True,False,False
216,590603,5,5-6,PS,True,False,False
216,590603,6,6-7,PS,True,False,False
216,590603,7,7-8,PS,True,False,False
216,590603,8,8-9,PS,True,False,False
216,590603,9,9-10,PS,True,False,False
216,590603,10,10-11,PS,True,False,False
216,590603,11,11-12,PS,True,False,False
216,590603,12,12-13,PS,True,False,False
216,590603,13,13-14,PS,True,False,False
216,590603,14,14-15,PS,True,False,False
216,590603,15,15-16,PS,True,False,False
216,590603,16,16-17,PS,True,False,False
217,590604,1,1-2,PS,True,False,False
217,590604,2,2-3,PS,True,False,False
217,590604,3,3-4,PS,True,False,False
217,590604,4,4-5,PS,True,False,False
217,590604,5,5-6,PS,True,False,False
217,590604,6,6-7,PS,True,False,False
217,590604,7,7-8,PS,True,False,False
217,590604,8,8-9,PS,True,False,False
217,590604,9,9-10,PS,True,False,False
217,590604,10,10-11,PS,True,False,False
217,590604,11,11-12,PS,True,False,False
217,590604,12,12-13,PS,True,False,False
217,590604,13,13-14,PS,True,False,False
217,590604,14,14-15,PS,True,False,False
217,590604,15,15-16,PS,True,False,False
217,590604,16,16-17,PS,True,False,False
218,590605,1,1-2,PS,True,False,False
218,590605,2,2-3,PS,True,False,False
218,590605,3,3-4,PS,True,False,False
218,590605,4,4-5,PS,True,False,False
218,590605,5,5-6,PS,True,False,False
218,590605,6,6-7,PS,True,False,False
218,590605,7,7-8,PS,True,False,False
218,590605,8,8-9,PS,True,False,False
218,590605,9,9-10,PS,True,False,False
218,590605,10,10-11,PS,True,False,False
218,590605,11,11-12,PS,True,False,False
218,590605,12,12-13,PS,True,False,False
218,590605,13,13-14,PS,True,False,False
218,590605,14,14-15,PS,True,False,False
218,590605,15,15-16,PS,True,False,False
218,590605,16,16-17,PS,True,False,False
219,590606,1,1-2,PS,True,False,False
219,590606,2,2-3,PS,True,False,False
219,590606,3,3-4,PS,True,False,False
219,590606,4,4-5,PS,True,False,False
219,590606,5,5-6,PS,True,False,False
219,590606,6,6-7,PS,True,False,False
219,590606,7,7-8,PS,True,False,False
219,590606,8,8-9,PS,True,False,False
219,590606,9,9-10,PS,True,False,False
219,590606,10,10-11,PS,True,False,False
219,590606,11,11-12,PS,True,False,False
219,590606,12,12-13,PS,True,False,False
219,590606,13,13-14,PS,True,False,False
219,590606,14,14-15,PS,True,False,False
219,590606,15,15-16,PS,True,False,False
219,590606,16,16-17,PS,True,False,False
220,590607,1,1-2,PS,True,False,False
220,590607,2,2-3,PS,True,False,False
220,590607,3,3-4,PS,True,False,False
220,590607,4,4-5,PS,True,False,False
220,590607,5,5-6,PS,True,False,False
220,590607,6,6-7,PS,True,False,False
220,590607,7,7-8,PS,True,False,False
220,590607,8,8-9,PS,True,False,False
220,590607,9,9-10,PS,True,False,False
220,590607,10,10-11,PS,True,False,False
220,590607,11,11-12,PS,True,False,False
220,590607,12,12-13,PS,True,False,False
220,590607,13,13-14,PS,True,False,False
220,590607,14,14-15,PS,True,False,False
220,590607,15,15-16,PS,True,False,False
220,590607,16,16-17,PS,True,False,False
221,590608,1,1-2,PS,True,False,False
221,590608,2,2-3,PS,True,False,False
221,590608,3,3-4,PS,True,False,False
221,590608,4,4-5,PS,True,False,False
221,590608,5,5-6,PS,True,False,False
221,590608,6,6-7,PS,True,False,False
221,590608,7,7-8,PS,True,False,False
221,590608,8,8-9,PS,True,False,False
221,590608,9,9-10,PS,True,False,False
221,590608,10,10-11,PS,True,False,False
221,590608,11,11-12,PS,True,False,False
221,590608,12,12-13,PS,True,False,False
221,590608,13,13-14,PS,True,False,False
221,590608,14,14-15,PS,True,False,False
221,590608,15,15-16,PS,True,False,False
221,590608,16,16-17,PS,True,False,False
222,590609,1,1-2,PS,True,False,False
222,590609,2,2-3,PS,True,False,False
222,590609,3,3-4,PS,True,False,False
222,590609,4,4-5,PS,True,False,False
222,590609,5,5-6,PS,True,False,False
222,590609,6,6-7,PS,True,False,False
222,590609,7,7-8,PS,True,False,False
222,590609,8,8-9,PS,True,False,False
222,590609,9,9-10,PS,True,False,False
222,590609,10,10-11,PS,True,False,False
222,590609,11,11-12,PS,True,False,False
222,590609,12,12-13,PS,True,False,False
222,590609,13,13-14,PS,True,False,False
222,590609,14,14-15,PS,True,False,False
222,590609,15,15-16,PS,True,False,False
222,590609,16,16-17,PS,True,False,False
223,590610,1,1-2,PS,True,False,False
223,590610,2,2-3,PS,True,False,False
223,590610,3,3-4,PS,True,False,False
223,590610,4,4-5,PS,True,False,False
223,590610,5,5-6,PS,True,False,False
223,590610,6,6-7,PS,True,False,False
223,590610,7,7-8,PS,True,False,False
223,590610,8,8-9,PS,True,False,False
223,590610,9,9-10,PS,True,False,False
223,590610,10,10-11,PS,True,False,False
223,590610,11,11-12,PS,True,False,False
223,590610,12,12-13,PS,True,False,False
223,590610,13,13-14,PS,True,False,False
223,590610,14,14-15,PS,True,False,False
223,590610,15,15-16,PS,True,False,False
